"year","date","drought","avgSM","seSM"
"2019",2019-04-19,0,27.9722222222222,1.43956251423453
"2019",2019-04-19,25,26.6111111111111,2.16720790960553
"2019",2019-04-19,50,27.9222222222222,2.93881012286803
"2019",2019-04-19,75,27.6,2.71559283480503
"2019",2019-04-19,99,28.4111111111111,3.15557022688295
"2019",2019-05-02,0,33.1888888888889,2.03870856355609
"2019",2019-05-02,25,35.3111111111111,2.73762084687317
"2019",2019-05-02,50,31.4777777777778,2.66373681642171
"2019",2019-05-02,75,32.1555555555556,3.37297721733219
"2019",2019-05-02,99,31.7444444444444,3.32733256157371
"2019",2019-05-19,0,27.5722222222222,1.88726044760524
"2019",2019-05-19,25,25.0222222222222,2.41095749638659
"2019",2019-05-19,50,24.9222222222222,2.00629410839556
"2019",2019-05-19,75,23.0222222222222,2.67876307368499
"2019",2019-05-19,99,17.3,2.52300526268883
"2019",2019-06-03,0,27.5333333333333,1.43920366506707
"2019",2019-06-03,25,27.8444444444444,2.90918617443622
"2019",2019-06-03,50,28.7222222222222,2.30294363428983
"2019",2019-06-03,75,27.2111111111111,2.71469480812016
"2019",2019-06-03,99,26.8444444444444,1.79668762442253
"2019",2019-06-14,0,13.7611111111111,1.82953508307133
"2019",2019-06-14,25,13.9333333333333,2.85506372764057
"2019",2019-06-14,50,16.6444444444444,2.72121863586841
"2019",2019-06-14,75,13.8444444444444,3.11814185725655
"2019",2019-06-14,99,16.3,3.37498971191848
"2019",2019-06-24,0,23.2055555555556,2.31174144558953
"2019",2019-06-24,25,19.5555555555556,3.26637375859901
"2019",2019-06-24,50,17.6111111111111,2.58706421152779
"2019",2019-06-24,75,12.6888888888889,3.10266213849962
"2019",2019-06-24,99,13.2,2.23848907375786
"2019",2019-07-08,0,11.5,2.03135551510763
"2019",2019-07-08,25,13.3333333333333,3.48086036618663
"2019",2019-07-08,50,16.4111111111111,3.23511310314237
"2019",2019-07-08,75,12.4111111111111,2.68547763413825
"2019",2019-07-08,99,12.9,2.81153378464891
"2019",2019-07-23,0,16.8666666666667,1.97114810113327
"2019",2019-07-23,25,19.7777777777778,3.37666739790128
"2019",2019-07-23,50,16.8888888888889,2.70716356504391
"2019",2019-07-23,75,16.2222222222222,2.7138419761668
"2019",2019-07-23,99,16.5888888888889,2.8178224672236
"2019",2019-08-09,0,19.65,1.77620896874596
"2019",2019-08-09,25,13.6777777777778,1.82450737474361
"2019",2019-08-09,50,14.5222222222222,2.39917681355836
"2019",2019-08-09,75,8.3,1.53106716595539
"2019",2019-08-09,99,7.67777777777778,1.93058553134202
"2019",2019-08-18,0,21.4777777777778,2.40040241119218
"2019",2019-08-18,25,19.4222222222222,3.03268206276675
"2019",2019-08-18,50,15.0222222222222,2.63084153085925
"2019",2019-08-18,75,13.1444444444444,2.07432124849921
"2019",2019-08-18,99,10.7444444444444,1.69665611580799
"2019",2019-08-27,0,10.8555555555556,1.17354338088198
"2019",2019-08-27,25,8.78888888888889,1.14022956319775
"2019",2019-08-27,50,9.65555555555556,1.1958389792098
"2019",2019-08-27,75,8.22222222222222,1.35069712224813
"2019",2019-08-27,99,7.07777777777778,1.29880049124159
"2019",2019-09-11,0,19.7611111111111,2.09925506377934
"2019",2019-09-11,25,18.8888888888889,3.21085158505256
"2019",2019-09-11,50,13.6,1.6288202956605
"2019",2019-09-11,75,12.9777777777778,2.57411137729432
"2019",2019-09-11,99,9.27777777777778,1.50736873187258
"2019",2019-09-26,0,11.4666666666667,1.54075357167441
"2019",2019-09-26,25,10.3888888888889,2.02590476663065
"2019",2019-09-26,50,9.53333333333333,1.71131852999701
"2019",2019-09-26,75,7.78888888888889,1.29158004488521
"2019",2019-10-06,0,19.6666666666667,2.20489651173269
"2019",2019-10-06,25,14.9666666666667,2.11640418320005
"2019",2019-10-06,50,13.0111111111111,2.35675414998187
"2019",2019-10-06,75,7.28888888888889,1.11759220902752
"2019",2019-10-06,99,6.35555555555556,1.27138497438283
"2019",2019-10-17,0,19.6111111111111,2.28454438885159
"2019",2019-10-17,25,13.2333333333333,1.64443506003328
"2019",2019-10-17,50,15.7444444444444,3.18159250442251
"2019",2019-10-17,75,9.65555555555556,2.36397212283285
"2019",2019-10-17,99,11.6777777777778,3.00932706476316
"2020",2020-05-01,0,17.4611111111111,2.16482786057932
"2020",2020-05-01,25,15.7666666666667,2.97886070689972
"2020",2020-05-01,50,21.2888888888889,2.51171944450435
"2020",2020-05-01,75,18.8777777777778,3.0738040934546
"2020",2020-05-01,99,16.1555555555556,3.09843648345021
"2020",2020-05-08,0,17.4777777777778,1.90370391563455
"2020",2020-05-08,25,17.2666666666667,3.20814934537378
"2020",2020-05-08,50,17.4666666666667,2.37983426126928
"2020",2020-05-08,75,15.1666666666667,3.41678861570985
"2020",2020-05-08,99,16.6444444444444,3.2097988475877
"2020",2020-05-19,0,14.6444444444444,2.22077567297729
"2020",2020-05-19,25,13.6222222222222,2.69741531520751
"2020",2020-05-19,50,13.8222222222222,1.74950610314405
"2020",2020-05-19,75,14.3,2.71733120706492
"2020",2020-05-19,99,11.1888888888889,2.3272208296858
"2020",2020-06-01,0,12.0555555555556,1.54412701868028
"2020",2020-06-01,25,12.7777777777778,2.35217262321087
"2020",2020-06-01,50,10.4,1.81054012812629
"2020",2020-06-01,75,10.1777777777778,2.40767163792104
"2020",2020-06-01,99,11.5111111111111,2.31339363780935
"2020",2020-06-16,0,4.9,0.512510162500869
"2020",2020-06-16,25,6.36666666666667,2.34117729168705
"2020",2020-06-16,50,4.63333333333333,1.90642189571051
"2020",2020-06-16,75,3.53333333333333,0.845248155540398
"2020",2020-06-16,99,3.9,1.18462370959446
"2020",2020-06-18,0,17.3083333333333,1.4612395284812
"2020",2020-06-18,25,15.2,3.5589324241969
"2020",2020-06-18,50,13.2166666666667,1.84669374228045
"2020",2020-06-18,75,12.1,2.0147787306137
"2020",2020-06-18,99,10.6166666666667,0.961046882889233
"2020",2020-06-29,0,5.575,1.00522310202685
"2020",2020-06-29,50,6.35,1.51321952582345
"2020",2020-06-29,75,5.18,1.32416011116481
"2020",2020-06-29,99,3.71666666666667,1.00379834185513
"2020",2020-06-30,0,17.1,1.75651169461901
"2020",2020-06-30,25,13.8666666666667,1.87468515875185
"2020",2020-06-30,50,14.1333333333333,1.75340937731165
"2020",2020-06-30,75,9.675,2.60492322343673
"2020",2020-06-30,99,10.6666666666667,1.27060790350306
"2020",2020-07-16,0,14.6611111111111,1.94545118662361
"2020",2020-07-16,25,13.2666666666667,1.83764644163246
"2020",2020-07-16,50,11.1333333333333,1.86264447612647
"2020",2020-07-16,75,11.9111111111111,2.42844511550341
"2020",2020-07-16,99,9.46666666666667,1.77724818500712
"2020",2020-07-30,0,14.1111111111111,1.32203272108282
"2020",2020-07-30,25,11.1333333333333,1.47610598836564
"2020",2020-07-30,50,9.05555555555556,1.63249222485056
"2020",2020-07-30,75,7.3,1.1
"2020",2020-07-30,99,6.74444444444444,1.16893958487444
"2020",2020-08-11,0,7.31111111111111,1.39674900054219
"2020",2020-08-11,25,7.46666666666667,1.58596272900021
"2020",2020-08-11,50,6.31111111111111,1.39378027564969
"2020",2020-08-11,75,5.24444444444444,1.20290286750094
"2020",2020-08-11,99,6.14444444444444,1.53714301285707
"2020",2020-08-27,0,6.22222222222222,0.948220057866783
"2020",2020-08-27,25,5.24444444444444,1.23593319568556
"2020",2020-08-27,50,4.98888888888889,1.26309193432937
"2020",2020-08-27,75,4.77777777777778,1.06272419566385
"2020",2020-08-27,99,5.25555555555556,0.971555326827258
"2020",2020-09-10,0,25.45,2.43643704827276
"2020",2020-09-10,25,20.3111111111111,2.76673917798775
"2020",2020-09-10,50,25.7,3.12445550812013
"2020",2020-09-10,75,16.9333333333333,2.38508094435202
"2020",2020-09-10,99,18.2888888888889,3.7566032397945
"2020",2020-09-22,0,16.7444444444444,2.25335221917805
"2020",2020-09-22,25,13.4222222222222,2.18000877787337
"2020",2020-09-22,50,18.4555555555556,3.73103020890385
"2020",2020-09-22,75,15.3,3.14227447701325
"2020",2020-09-22,99,13.4,2.46198880762868
"2020",2020-10-05,0,8.75,1.54727781198173
"2020",2020-10-05,25,5.91111111111111,1.53283003011898
"2020",2020-10-05,50,7.62222222222222,1.86038957821099
"2020",2020-10-05,75,4.8,1.00912503354804
"2020",2020-10-05,99,5.08888888888889,1.21820045381662
"2020",2020-10-20,0,18.0166666666667,1.45040562277876
"2020",2020-10-20,25,13.5888888888889,1.33992583174141
"2020",2020-10-20,50,12.2777777777778,1.50515574847273
"2020",2020-10-20,75,11.0888888888889,1.80627336159013
"2020",2020-10-20,99,8.42222222222222,1.16294379554858
"2021",2021-04-23,0,26.4666666666667,1.88963460866072
"2021",2021-04-23,25,26.3444444444444,2.56726784686189
"2021",2021-04-23,50,29.1888888888889,2.13635492034423
"2021",2021-04-23,75,26.4555555555556,2.6955782265237
"2021",2021-04-23,99,28.0777777777778,2.79666357656652
"2021",2021-05-06,0,17.05,1.79580575248371
"2021",2021-05-06,25,15.0666666666667,2.15
"2021",2021-05-06,50,22.9555555555556,2.44955274325239
"2021",2021-05-06,75,20.7888888888889,2.61997903111013
"2021",2021-05-06,99,20.9222222222222,3.49144898994425
"2021",2021-05-19,0,23.7555555555556,2.49998983294955
"2021",2021-05-19,25,20.5555555555556,3.54659896203826
"2021",2021-05-19,50,22.3,2.62207509003418
"2021",2021-05-19,75,20.2,3.07697542690509
"2021",2021-05-19,99,24.4888888888889,2.99394966021495
"2021",2021-06-02,0,13.7055555555556,2.19890751576558
"2021",2021-06-02,25,12.5777777777778,2.49386902544007
"2021",2021-06-02,50,15.7444444444444,2.95423947306198
"2021",2021-06-02,75,17.0333333333333,3.59096087419509
"2021",2021-06-02,99,17.4,3.74673932313893
"2021",2021-06-16,0,8.41111111111111,1.22650171762051
"2021",2021-06-16,25,6.67777777777778,0.999274428130756
"2021",2021-06-16,50,7.13333333333333,1.47205449778344
"2021",2021-06-16,75,7.86666666666667,1.65344757669812
"2021",2021-06-16,99,9.6,1.80608539234568
"2021",2021-06-29,0,21.8777777777778,2.21584542586876
"2021",2021-06-29,25,20.8111111111111,2.78495184700265
"2021",2021-06-29,50,23.4555555555556,3.63944864227442
"2021",2021-06-29,75,22.2777777777778,2.70297047388906
"2021",2021-06-29,99,24.6,3.57798049805256
"2021",2021-07-14,0,8.96944444444444,0.910074298767357
"2021",2021-07-14,25,8.56666666666667,1.11026111278478
"2021",2021-07-14,50,8.90555555555556,1.43621398223232
"2021",2021-07-14,75,8.84444444444444,1.2821607126081
"2021",2021-07-14,99,10.7666666666667,1.53890717527655
"2021",2021-07-27,0,8.69444444444444,1.23263022412494
"2021",2021-07-27,25,8.08888888888889,1.63166959860517
"2021",2021-07-27,50,7.07777777777778,1.23836560946921
"2021",2021-07-27,75,8.22222222222222,1.38601925770029
"2021",2021-07-27,99,9.74444444444445,1.72852788290363
"2021",2021-08-11,0,15.9,1.79350680697528
"2021",2021-08-11,25,12.0555555555556,2.38939271172911
"2021",2021-08-11,50,17.8111111111111,2.73949734057406
"2021",2021-08-11,75,13.4666666666667,2.77098057252903
"2021",2021-08-11,99,15.4666666666667,2.73709091311682
